time,activity,10a,10b,12a,12b,11a,11b,14a,14b,13a,13b,conductivity,temperature,depth,depth2
17942.4,0.944166064,58.97602081,81.99645996,76.35793304,86.61445618,64.36867523,77.79717255,83.37746429,98.8526001,,,36.16528,7.9665745,251.0885686,251.0885686
17952.4,0.937038343,58.6333847,83.55410767,73.68048859,83.53486633,67.55347443,79.01514435,79.75628662,103.1956863,,,,,,
17962.4,0.928139271,59.95749664,81.97092438,71.67207336,82.59456635,74.19930267,82.55658722,88.12439728,104.8065796,,,,,,
17972.4,0.924648209,60.99451828,85.59636688,76.19094086,84.93034363,74.54941559,82.67133331,89.30459595,104.1675034,,,,,,
17982.416666666668,0.947160661,64.65355682,85.27198792,81.08666992,85.51493835,74.64591217,82.72864532,89.77783966,107.0447235,,,,,,
17992.416666666668,0.976934761,63.00486755,83.35697937,75.67827606,85.95458221,72.01953888,83.33570862,88.55836487,103.8727112,,,,,,
18002.416666666668,0.969719041,63.31414413,83.18492126,77.10569763,89.71897125,73.03111267,84.49732208,90.7696228,107.2112732,,,36.22769,7.9743175,251.0651852,251.0651852
18012.416666666668,0.979698218,62.90425873,83.86794281,77.82823944,88.20357513,66.97948456,81.32190704,91.11525726,108.3990479,,,36.19076,7.979727,251.0476847,251.0476847
18015.883333333335,0.993674559,60.83423996,83.03523254,77.88794708,87.18196106,68.01506042,83.34063721,90.64849854,104.0279083,,,36.195855,7.981892,251.0427905,251.0427905
18022.433333333334,0.978292593,61.24223328,82.67393494,82.87428284,88.7673645,67.8736496,84.75731659,87.47894287,104.7865143,,,36.2156,7.9855965,251.0315685,251.0315685
18032.416666666668,0.989899711,62.61023712,84.3057251,83.63296509,91.65039825,72.15853119,86.69116211,89.56996918,106.3889618,,,36.206045,7.988066,251.0175286,251.0175286
18042.433333333334,0.978038114,65.29410553,86.55380249,85.91023254,90.96641541,66.25795746,84.95422363,86.97335052,104.6700592,,,,,,
18052.416666666668,0.974577889,65.5308609,86.07272339,84.72589874,89.36986542,68.40375519,88.18439484,90.8285141,107.8919373,,,,,,
18062.433333333334,0.972090094,65.25097656,87.36144257,87.24491119,92.35054016,71.22384644,87.71496582,93.92484283,109.4776764,,,36.20477,7.986128,250.9285432,250.9285432
18072.433333333334,0.993531295,64.310112,86.96980286,87.44450378,91.27183533,76.60324097,86.63409424,,,,,36.206025,7.981,250.8921086,250.8921086
18082.45,0.979819218,65.443367,89.65570068,88.81607819,92.09168243,73.71031952,88.76696777,92.53226471,108.0825424,,,36.18438,7.969589,250.8573548,250.8573548
18092.433333333334,0.98750314,65.46840668,89.15927124,89.80831146,88.23204041,75.44376373,89.95491028,93.0165329,106.8910828,,,36.19265,7.9654005,250.8353557,250.8353557
